Linux 4.2.8-300.fc23.x86_64 (localhost.localdomain) 	25/04/16 	_x86_64_	(1 CPU)

16:45:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
16:45:32     all   60.61    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.38
16:45:33     all   61.39    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   36.63
16:45:34     all   64.65    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   35.35
16:45:35     all   57.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   42.86
16:45:36     all   61.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.78
16:45:37     all   62.24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   37.76
16:45:38     all    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
16:45:39     all    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:45:40     all    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
16:45:41     all    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:45:42     all    1.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
16:45:43     all    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:     all   31.21    0.17    0.08    0.00    0.00    0.08    0.00    0.00    0.00   68.46
